state,year,Ratio between the Democrate and Republican Proportion,Liberalism of Social Policy,Liberalism of Economic Policy,Liberalism of Social Resident,Liberalism of Economic Resident
Alabama,1946,0.5730166187702845,0.7729834131549599,-0.8263391280797671,-1.2475526586562546,-0.25475777447799747
Alabama,1947,0.5725632157588045,0.7242258964080033,-0.8185907785590063,-0.7853804870224445,-0.22186753675978038
Alabama,1948,0.5798446523215993,0.7137592273999004,-0.7771124300668689,-0.6781893426015155,-0.24912960748484866
Alabama,1949,0.5863253168816731,0.6321392769998798,-1.1171920803323667,-0.3349404096482349,0.29195108274364207
Alabama,1950,0.6062156414956891,0.6254939410793895,-1.242604250225928,-0.37943679076692244,0.8687145344837084
Alabama,1951,0.6269738070535942,0.5714939617904423,-0.9391058950997669,-0.26803791045743824,1.5758879423719165
Alabama,1952,0.6534680134785628,0.5564440320603069,-0.8854197689875702,-0.46303742789695546,0.513757842606378
Alabama,1953,0.688178669707453,0.5676162774945763,-1.2644586473333093,-1.4165085055675652,1.283061428941104
Alabama,1954,0.7645981148845806,0.4928590322535838,-1.0814160687079741,-1.876773269051664,1.9339031551350048
Alabama,1955,0.8128911170720631,0.4260746476017602,-0.9726765613274159,-1.7618206742882143,0.8773260490825607
Alabama,1956,0.8633462307343727,0.4162941498198936,-1.575711726432908,-1.7285818633551193,2.620388609255473
Alabama,1957,0.8216433103718425,0.4689285204367038,-1.2246128765894073,-1.7006081439816567,0.2209382049082202
Alabama,1958,0.8333276819535516,0.42715498411182623,-1.618259006711506,-2.1101653938818847,2.1862840163623645
Alabama,1959,0.85832247099675,0.29727013608915054,-1.42029981228194,-1.8485934371357824,0.3821666656971092
Alabama,1960,0.849841809027111,0.27760046736563665,-1.4022517028273582,-2.2035449794052995,1.0766667049149736
Alabama,1961,0.8191489350665756,0.06751688603349998,-1.3573156720214563,-1.8503306572700386,1.1768441398774074
Alabama,1962,0.7738129877268338,0.041392068853911626,-1.2812448724297627,-2.2793988542219075,1.2772800388460197
Alabama,1963,0.7319178690681984,-0.03172914569596336,-1.4319468269697602,-1.1560551641446342,1.3215437719780938
Alabama,1964,0.7216044062662688,-0.07161077048506476,-1.1274314432287396,-2.1931759755493023,1.5527347030918874
Alabama,1965,0.7229103308392112,-0.26924304394529547,-1.2675468600022293,-1.6324818168678692,-0.137209726399939
Alabama,1966,0.7839578403612673,-0.13768146570210968,-1.4026367293386544,-2.247707157214709,0.32138825539713467
Alabama,1967,0.9580778105777771,-0.23561515675861486,-1.601973430016991,-2.224363543481551,-0.10658807856009317
Alabama,1968,1.0991032606253202,-0.23044465823822827,-1.2082550223051727,-1.592958229864633,0.012505085349546636
Alabama,1969,1.1577483567671667,-0.41876675800272195,-1.4876517017696889,-1.8162742735492017,0.19875131097822385
Alabama,1970,1.162639514951747,-0.4723462182395508,-1.5227857640231217,-1.3327112488972706,-0.1378771423356457
Alabama,1971,1.2115064266191617,-0.6685003793683165,-1.633199402279232,-1.5394751827553184,-0.06926158284849195
Alabama,1972,1.2960037389934418,-0.7815687824818468,-1.2870317084409821,-0.8907125917912367,0.01954735280051254
Alabama,1973,1.4310999737731236,-0.6262940024719096,-1.652971258471766,-0.6018989020396138,-1.003493623460646
Alabama,1974,1.5726664254144116,-0.9564170156413503,-1.5779568617267563,-0.6913490125195084,0.3632858208471819
Alabama,1975,1.6950267361269287,-1.0050456447102118,-1.6823013177287949,-0.4100450197828471,-0.4299687160440952
Alabama,1976,1.786535659603733,-0.9795605553905521,-1.5909318319002526,-0.43539600767678566,0.39815773766673274
Alabama,1977,1.8684692225820647,-0.9872197136063887,-1.5252801048563647,-0.40116917792465123,0.09174568413412842
Alabama,1978,1.9761334384621652,-1.0124152785351452,-1.632973987304705,-0.6328797967983006,0.5002726810420433
Alabama,1979,2.019560324522499,-1.0289055522440615,-1.6739973459355058,-1.0949064638176933,0.08022986936228288
Alabama,1980,2.084811999418035,-0.9580610108894501,-1.9700825964730628,-1.387407548771712,0.37733038186736945
Alabama,1981,2.0793289617067745,-1.0732603539231207,-1.914929439903945,-1.5119104291141503,0.16010963397959546
Alabama,1982,2.03419509332781,-1.0530666343135793,-1.9795080735652633,-1.3510230441544737,0.20905344285389763
Alabama,1983,1.89272600382154,-1.0765721113139264,-2.1273835167423982,-1.3654603621609331,-0.06571693665125648
Alabama,1984,1.7633480054757218,-1.0973692472891499,-1.9706879040075913,-1.35579837927697,0.38922206421247146
Alabama,1985,1.5819317533129968,-1.0758375154024482,-2.1245520762817165,-1.471041808661379,-0.09834900297669616
Alabama,1986,1.4253475577299564,-1.1022845406705024,-2.0953017824176445,-1.141696040813247,0.24913514896407915
Alabama,1987,1.166738276246564,-1.2682501184910253,-2.1457236595901965,-1.7959815568621285,0.44022450925446194
Alabama,1988,0.9954285955005341,-1.3106919776191217,-2.1594411314295727,-1.432171641299327,-0.11798510291118915
Alabama,1989,0.8671132929312755,-1.3303869808188429,-2.18831816108347,-1.6079124596455774,0.3126750775174511
Alabama,1990,0.7877204517728916,-1.262169252706027,-2.011423755649676,-1.418883737105526,0.12247123304823637
Alabama,1991,0.6729438684318929,-1.298536938382109,-1.8542972569847687,-1.4065521221619695,0.2258368431227156
Alabama,1992,0.598207845151226,-1.239889604182748,-1.761254446382456,-1.6717950111976934,0.7546586600513424
Alabama,1993,0.5733249264115297,-1.247832040194937,-1.8887371764442071,-1.7201996163352828,-0.2260918041618086
Alabama,1994,0.5109240362703791,-1.2342662172537513,-1.6536313466263808,-1.854958998285491,0.5220876464884157
Alabama,1995,0.4731856332555172,-1.1655645015185916,-1.4570806103032896,-1.7090618970240876,0.13155177302733528
Alabama,1996,0.4181189652814327,-1.1247692142621046,-1.509237371637562,-1.7972260936934477,0.6823313187745157
Alabama,1997,0.3060310655448189,-1.2859704734832698,-1.0898492646976459,-1.586046802475226,0.4955150704043335
Alabama,1998,0.215100647251081,-1.2623459011892362,-1.06734482913674,-1.5178870140910714,0.642910408242257
Alabama,1999,0.15339431736130052,-1.2399109502482217,-1.1394581158663681,-1.350273066406226,0.55518054275345
Alabama,2000,0.06455021497550857,-1.3276826870154195,-1.2355221487539445,-1.3066846233160196,0.3792894695091487
Alabama,2001,-0.05176735619689733,-1.205413844888774,-1.034132136929848,-1.3665484054551689,0.22232057802414337
Alabama,2002,-0.13895514531448297,-1.382562520045498,-1.2427652995110572,-1.387910507948517,0.035731429602641945
Alabama,2003,-0.2184034034625799,-1.4090989967771903,-1.2797947765089037,-1.415447409267533,0.29362346099736647
Alabama,2004,-0.2810774446872682,-1.3177625321847652,-1.1371427121881006,-1.4370229563262287,0.03148965855677804
Alabama,2005,-0.33635782706570133,-1.2546628988911428,-1.0957258658337259,-1.5088950907337957,0.1820078502938946
Alabama,2006,-0.39356702905319124,-1.3402132631821981,-1.130364205884514,-1.38562061290224,0.1278427027753579
Alabama,2007,-0.44047865258046315,-1.3279939006672932,-1.2219649591823056,-1.4262384141846842,0.22402638299833927
Alabama,2008,-0.5318659791407285,-1.3179441336427076,-1.1989371592444775,-1.530885031761055,-0.39316917295251236
Alabama,2009,-0.5629957373895011,-1.3641948138370794,-0.9338476577543763,-1.4130882179680038,-0.7911338807883687
Alabama,2010,-0.5869565747110008,-1.3040779616090847,-0.8820215077335406,-1.4886562897896418,-0.6874592308548511
Alabama,2011,-0.6056821506091983,-1.2899078097044716,-0.8432830098496094,-1.4196265613614911,-0.771007933992232
Alabama,2012,-0.5769797528720091,-1.2703827190202674,-0.7969412963947441,-1.4600332941538787,-0.4698542389388012
Alabama,2013,-0.5467818309228082,-1.261582782680548,-1.2073530494411515,-1.4668923401187777,-0.9898621610011045
Alabama,2014,-0.5419504541753174,-1.2441253453484484,-1.1009540097839396,-1.4832097986483805,-0.6883856282036752
Alaska,1946,-0.9072906690808339,0.4275999181056087,-0.5194674981307024,0.3274813706215838,0.03716570347798971
Alaska,1947,-0.8958982747415793,0.4048625100168701,-0.3598267804298127,0.29600375414491614,-0.5295920857776948
Alaska,1948,-0.8855153984482738,0.44477960756001134,-0.3568221096749545,0.6742143732096088,-0.8800915408619511
Alaska,1949,-0.8775508644804253,0.39157506280520893,-0.4760985213436101,0.8451472471193022,-0.5027583842911666
Alaska,1950,-0.8661707692479023,0.4224131752561317,-0.45558948833098584,0.3124403788301154,0.19722616288689873
Alaska,1951,-0.8588316467569305,0.42788117675235304,-0.38570535468386513,1.198865731007504,-0.2907510602605776
Alaska,1952,-0.8499306922132032,0.4342352544793249,-0.39043424858034054,1.2603623599956153,-0.3251841179495203
Alaska,1953,-0.8258846384325126,0.4499679496220183,-0.498359717451431,1.6485656171373857,-0.26972187104368933
Alaska,1954,-0.8177842631293121,0.4499804533691949,-0.4456304474778822,1.1250363353027215,-0.5671299942081077
Alaska,1955,-0.8084782657206451,0.4266688356345419,-0.4216080919642437,0.5487748084762365,-1.4590709825353856
Alaska,1956,-0.8075565431207204,0.45891636518036893,-0.4793661784808923,1.368229356939914,-0.8779238270359541
Alaska,1957,-0.8090829034894716,0.47780002116764336,-0.42623178402778733,0.9763898345573068,-1.9347402472745567
Alaska,1958,-0.8299838676564333,0.49916372008785825,-0.42241470420934335,1.0449064908037016,-0.16623705374985479
Alaska,1959,-0.8530118743067943,0.4095391632139105,-0.43953997477802115,1.1346730259748605,-0.5452928843702843
Alaska,1960,-0.8764785792706989,0.40395548273865584,-0.15534871679713366,1.2690820449288251,-0.4149020499886938
Alaska,1961,-0.8973743146606941,0.409888793646428,-0.14276501005341796,1.409030036618313,-0.6445884301216608
Alaska,1962,-0.9047538729738864,0.3138431664358425,-0.2270545310387149,1.7172135714991654,-0.5234910979285428
Alaska,1963,-0.913767139877838,0.3239443491187393,0.002865662170649314,1.5982227008877774,-0.5973927146914102
Alaska,1964,-0.9335305555282837,0.23599865775186507,0.1607729154402623,1.5512683251837645,-0.36921170130529946
Alaska,1965,-0.9493103935325324,0.009447097454562398,-0.13026143742059382,2.049234693866444,-0.30162519077540884
Alaska,1966,-0.9553121470145319,-0.0501824181020393,-0.06536543471937369,2.351123041826367,-0.290128929682141
Alaska,1967,-0.959830481462021,-0.2008296302090668,-0.1253178170864993,2.6410595927150053,-0.23639675183191128
Alaska,1968,-0.9669980876906316,-0.15967937425785858,0.54514479795228,3.337883538119974,-0.3187742962714184
Alaska,1969,-0.9816789083792123,0.30556628052236456,0.46870137722627087,2.3929559730439838,-0.3813143094793041
Alaska,1970,-0.9963096387337855,0.24187839467759378,0.9866837959278871,2.2310192435926046,-0.401165523076128
Alaska,1971,-1.01852686332679,0.05696267490632855,0.9499483670513038,1.9080935159810464,-0.3142933661534836
Alaska,1972,-1.0384320084043177,0.3659983779157619,1.0171829335041738,1.773962445855728,-0.2840272822541411
Alaska,1973,-1.073343203072744,0.16009488185336096,0.7447850177646352,2.0541056894521237,-0.31430376279475664
Alaska,1974,-1.1093954551074168,0.13421208050388364,0.8655113529786715,2.07109344284841,-0.21948670321671884
Alaska,1975,-1.1313402918190572,0.15242280590459953,0.6183236746515993,2.03283164142034,-0.25204291146683827
Alaska,1976,-1.1479353074629535,0.09263621519656441,0.6534255291751356,1.982576559456221,-0.24661672389120592
Alaska,1977,-1.1813203880327259,0.027938280120708342,0.7880567412586758,2.0466980520616302,-0.27665206981224316
