"country","year","happy","trust","authority","petition","god","homosex","abortion","proud","postmat","autonomy"
"ALB",1995,2.67156862745097,1.69771241830065,1.59640522875816,2.20424836601306,6.94771241830063,1.69281045751633,5.56699346405227,1.5032679738562,1.63398692810457,-0.184640522875817
"ALB",1999,2.36713286713287,1.75524475524477,1.65734265734266,2.10664335664335,7.16433566433568,1.49475524475524,4.07692307692307,1.32517482517483,1.63461538461539,0.208041958041958
"AND",2005,1.79640268235236,1.80189273225868,1.79648078274582,1.53646532009988,5.49013583482714,8.1180808528286,6.94491761187394,1.72875897613308,2.08284291007288,0.369595578424136
"AND",2017,1.68122270742357,1.69432314410479,1.63537117903929,1.5240174672489,4.34716157205239,8.23799126637557,6.62882096069869,1.55240174672488,2.08733624454147,0.491266375545852
"ARG",1981,2.0655668629121,1.74940040123234,1.62523497803724,1.96428339780107,7.1105853362176,2.4113567167129,3.21115576826492,1.73001879936225,1.8078044992244,0.328482531524142
"ARG",1990,1.93198992443325,1.76952141057936,1.39672544080604,2.22040302267002,7.96977329974817,2.94080604534003,3.32367758186396,1.59571788413098,1.93702770780857,0.0667506297229219
"ARG",1995,1.88690959981001,1.82085998264544,1.48282019491992,1.98800503898157,8.34935005381677,4.48538078044185,3.40482518616237,1.55489130631007,2.13948092913512,0.0463060548213272
"ARG",1999,1.8402528679733,1.84509093012497,1.34721735637271,2.1992054516283,8.54792435021905,4.32048291983169,2.58454702633463,1.41577518070303,2.07199830456449,-0.212462188914877
"ARG",2005,1.75046348176412,1.83664630050603,1.22680605413787,2.05467695530869,8.36174819525088,5.30713824229563,3.24380555941039,1.39956773737176,1.84856544792083,-0.00407088878713273
"ARG",2010,1.81001888986631,1.82503404709429,1.49590396849492,2.26587274550192,7.48403880729586,5.58919449222631,3.54417480071999,1.58695210874758,1.83400608820373,0.129483790097648
"ARG",2017,1.80056681871733,1.82132630250446,1.39750239591355,2.21461530873419,7.45487814291496,5.49476586017959,3.38025850710612,1.50618674621498,1.70236298119007,-0.0224872045440792
"ARM",1995,2.41434540389971,1.7785515320334,1.41086350974929,2.22632311977715,6.84679665738168,2.06058495821726,4.53272980501397,1.79038997214483,1.60584958217268,0.556406685236764
"ARM",2010,1.88342737833783,1.89383292482212,1.54601550913717,2.65068099357081,8.46831997997659,1.14335487941145,2.36390084656411,1.30462325433771,1.55105991043154,-0.0317797355421945
"ARM",2017,1.62460962605454,1.91851143859159,1.25447467465455,2.47380287595089,9.15554939881534,1.41054915958049,2.41257136178493,1.21052603865714,1.59433028117447,-0.0439056483388315
"AUS",1981,0,0,0,0,0,0,0,0,0,0
"AUS",1995,1.62881467869929,1.59541849566947,1.34839983785763,1.25744663409994,5.60566692180831,4.62496342179954,4.85943916033126,1.2924040121634,2.26968721348583,0.405341195246857
"AUS",2005,1.73833913889845,1.52920084849404,1.45544008731586,1.23700415162788,6.05482710637281,5.68763362961766,5.68006054376232,1.35954318806402,2.06787728797907,0.544609212204841
"AUS",2010,1.72790367310606,1.47581330844343,1.43133549300903,1.31191599753702,4.97429599275279,6.98695292121431,5.92193166821866,1.34541590124932,1.6250508945478,0.753611846138476
"AUS",2017,1.84674597865267,1.49505924113253,1.51304724732262,1.2641147271824,4.42331913682861,7.39879235542269,6.67343874874629,1.52302986731282,2.03926621442293,0.631427814529043
"AZE",1995,2.10655737704918,1.79781420765028,1.39002732240435,2.61612021857926,8.72677595628413,1.3804644808743,4.12636612021855,1.43510928961746,1.41666666666665,0.65163934426229
"AZE",2010,1.9515854778714,1.84744012506528,1.37546957713575,2.87220030070858,9.78878905516402,1.17936714861902,2.80114401815137,1.37782485399754,1.53231443380296,0.716647868407751
"BFA",2005,1.9989615784008,1.86085150571129,1.42782969885772,2.08099688473517,9.32502596053981,1.65316718587745,2.33541017653165,1.17133956386291,1.62409138110071,-0.766355140186916
"BGD",1995,0,0,0,0,0,0,0,0,0,0
"BGD",1999,2.08598726114651,1.7738853503185,1.07484076433123,2.27707006369426,9.63375796178337,1.04060509554142,1.30015923566878,1.31369426751592,1.65923566878982,0.219745222929936
"BGD",2017,1.81070366699703,1.86025768087217,1.24876114965312,2.46977205153618,9.65807730426162,1.73439048562932,2.10901883052526,1.18037661050546,1.83349851337959,-0.539147670961351
"BGR",1995,2.35744680851063,1.69787234042552,1.48297872340425,2.33191489361701,4.66170212765956,3.42553191489362,5.70638297872339,1.63191489361702,1.58297872340425,0.663829787234041
"BGR",2005,2.32500409724464,1.76913457670434,1.61793551112213,2.43201017259766,5.71410235149868,4.26130202361607,5.66727799710697,1.79541543925253,1.48617628241574,0.692717480235296
"BIH",1995,2.09488272921109,1.72921108742004,1.61194029850748,1.99893390191898,7.21748400852876,1.94776119402988,4.12793176972282,1.60554371002134,1.69296375266525,0.174840085287846
"BIH",1999,1.98098098098097,1.84484484484482,1.86186186186186,2.04204204204204,7.37337337337336,1.99299299299302,3.91291291291293,1.994994994995,1.73273273273272,0.341341341341342
"BLR",1990,2.52253349573693,1.73690621193667,1.36419001218028,1.95249695493303,4.10231425091355,1.86479902557858,4.57003654080393,1.87819732034106,1.72472594397078,0.415347137637026
"BLR",1995,2.55764705882352,1.77960784313721,1.3654901960784,2.49725490196079,5.73803921568627,2.08313725490194,4.58352941176472,1.96392156862743,1.57882352941173,0.207843137254901
"BLR",2010,0,0,0,0,0,0,0,0,0,0
"BOL",2017,1.88703170028821,1.91815561959657,1.13717579250722,2.35677233429394,9.23400576368855,3.33890489913537,2.28472622478384,1.34639769452451,1.9740634005764,-0.473775216138333
"BRA",1990,2.05947998793349,1.93501633646242,1.26062947710898,1.66415965069956,9.42790970579378,2.46222995443599,2.47491951293668,1.56197280069897,1.67149787089588,-0.3424959983905
"BRA",1995,1.96326905417817,1.97061524334256,1.21487603305787,1.7144168962351,9.59963269054165,3.16345270890723,2.03581267217633,1.53351698806246,1.81083562901748,-0.606060606060605
"BRA",2005,1.77150316259708,1.91143063099648,1.26010985329204,1.60858626326209,9.64289399461889,4.24287705974918,2.40836269861413,1.8346439920808,1.78746027717142,-0.523634458601953
"BRA",2010,1.71378307477958,1.92277084395194,1.28405001310523,1.76003212358663,9.58944580798543,4.59701142532719,2.19095415070493,1.91341614361132,1.79481689662413,-0.363278776747087
"BRA",2017,1.81864927805626,1.9397704192202,1.31685628056858,1.68749338324977,9.17589348865866,5.04530583509444,2.46407464501529,2.18106019938679,1.8218153193784,-0.281038655244043
"CAN",1999,1.60400058745778,1.61007490086651,1.41083272139815,1.34209428697313,7.18994272286681,5.47255103539433,4.65783521809371,1.39067704508739,2.21379938316934,0.503010721104422
"CAN",2005,1.58338795203309,1.56955932287483,1.36714376569932,1.36005255573202,7.16711049491223,5.72346723093245,4.70256571901307,1.31357599747735,2.18657440216748,0.45901431695239
"CAN",2017,1.9727384741332,1.52906430606344,1.6830635575195,1.3521116591736,4.92314181227357,7.69762302904279,6.64358159699324,1.61326751948093,2.08189039395558,0.712106210659327
"CHE",1995,1.65780617404309,1.5786147342926,2.04162542215199,1.51703791485994,6.02435251862624,6.30538481534256,5.0619570351406,2.04373798530292,2.05443919653139,0.478381233006465
"CHE",2005,0,0,0,0,0,0,0,0,0,0
"CHL",1990,1.9558935361217,1.77186311787076,1.24790874524716,2.20076045627378,8.60836501901147,1.83117870722432,1.81216730038021,1.60912547528518,1.93764258555137,-0.450950570342203
"CHL",1995,1.91262401472014,1.7769532106504,1.50625131389483,2.26413072716875,8.67423093354913,3.30638106454303,2.16108520367911,1.55392902594333,1.87963253893084,-0.250608630000429
"CHL",1999,1.82199922893145,1.78179223465258,1.47546947408323,2.33915822806489,8.84449815957816,3.9566082566065,2.20901053604643,1.36532230708946,1.86876781937245,-0.0111464674700899
"CHL",2005,1.91048934861996,1.86618843055024,1.37812076316788,2.41243988528795,8.72559070026611,4.91914054006543,2.6637422273124,1.46639603312725,1.83299504567386,-0.0438976233863674
"CHL",2010,1.90501319261212,1.86015831134563,1.46042216358838,2.28232189973615,8.23087071240108,5.59366754617417,3.04617414248023,1.58047493403692,1.95646437994721,0.3311345646438
"CHL",2017,1.87181529377646,1.88482157769855,1.44444340612325,2.36680653302292,6.59907605225533,5.11777640830317,3.60682830927053,1.90188291734311,1.85124349606452,0.134587306577178
"CHN",1990,0,0,0,0,0,0,0,0,0,0
"CHN",1995,0,0,0,0,0,0,0,0,0,0
"CHN",1999,0,0,0,0,0,0,0,0,0,0
